iter	Passed	Remaining
185	1446	6330
186	1453	6317
187	1459	6305
188	1466	6294
189	1473	6281
190	1481	6273
191	1487	6261
192	1495	6252
193	1502	6241
194	1509	6230
195	1515	6218
196	1522	6207
197	1530	6197
198	1536	6185
199	1544	6177
200	1551	6165
201	1557	6154
202	1564	6144
203	1571	6132
204	1579	6124
205	1586	6113
206	1593	6104
207	1600	6092
208	1606	6080
209	1614	6072
210	1620	6060
211	1628	6053
212	1635	6042
213	1643	6034
214	1649	6023
215	1656	6012
216	1663	6002
217	1670	5991
218	1678	5984
219	1684	5974
220	1692	5965
221	1698	5954
222	1706	5944
223	1713	5935
224	1720	5927
225	1728	5919
226	1735	5909
227	1743	5902
228	1750	5893
229	1757	5885
230	1765	5876
231	1772	5868
232	1779	5859
233	1787	5850
234	1794	5841
235	1801	5831
236	1808	5823
237	1815	5812
238	1822	5804
239	1829	5794
240	1837	5786
241	1844	5776
242	1850	5765
243	1859	5760
244	1866	5750
245	1873	5742
246	1880	5733
247	1888	5725
248	1895	5716
249	1903	5709
250	1910	5700
251	1917	5692
252	1925	5684
253	1932	5676
254	1940	5669
255	1947	5661
256	1955	5653
257	1962	5644
258	1970	5636
259	1977	5627
260	1987	5626
261	1995	5621
262	2003	5615
263	2011	5607
264	2019	5601
265	2027	5593
266	2035	5588
267	2043	5582
268	2052	5576
269	2059	5568
270	2068	5563
271	2075	5555
272	2083	5547
273	2091	5540
274	2099	5535
275	2107	5528
276	2116	5523
277	2123	5515
278	2132	5510
279	2139	5502
280	2147	5494
281	2154	5485
282	2161	5477
283	2170	5471
284	2177	5463
285	2184	5454
286	2191	5444
287	2198	5435
288	2205	5426
289	2212	5415
290	2218	5404
291	2224	5394
292	2231	5385
293	2239	5377
294	2246	5369
295	2253	5358
296	2259	5347
297	2266	5339
298	2273	5330
299	2281	5323
300	2288	5315
301	2297	5309
302	2304	5300
303	2312	5293
304	2319	5284
305	2325	5274
306	2333	5266
307	2339	5257
308	2346	5248
309	2353	5239
310	2361	5232
311	2368	5222
312	2376	5216
313	2383	5207
314	2391	5199
315	2398	5191
316	2405	5183
317	2414	5177
318	2421	5169
319	2429	5162
320	2436	5153
321	2444	5146
322	2451	5139
323	2460	5133
324	2467	5124
325	2474	5116
326	2481	5107
327	2488	5098
328	2496	5090
329	2503	5082
330	2511	5076
331	2519	5068
332	2526	5060
333	2533	5051
334	2541	5044
335	2548	5036
336	2557	5030
337	2563	5021
338	2571	5014
339	2578	5005
340	2585	4997
341	2593	4990
342	2601	4982
343	2608	4975
344	2616	4967
345	2624	4961
346	2632	4953
347	2640	4946
348	2647	4939
349	2655	4931
350	2662	4923
351	2670	4915
352	2677	4906
353	2683	4896
354	2690	4888
355	2696	4878
356	2703	4870
357	2710	4860
358	2717	4851
359	2724	4843
360	2731	4834
361	2738	4826
362	2744	4816
363	2752	4809
364	2759	4800
365	2767	4793
366	2773	4784
367	2780	4774
368	2788	4768
369	2795	4759
370	2802	4751
371	2809	4742
372	2816	4733
373	2823	4725
374	2829	4715
375	2836	4707
376	2843	4698
377	2850	4690
378	2857	4681
379	2863	4672
380	2873	4667
381	2879	4658
382	2886	4650
383	2893	4641
384	2900	4633
385	2907	4624
386	2914	4616
387	2921	4607
388	2927	4598
389	2935	4591
390	2942	4582
391	2949	4575
392	2958	4569
393	2967	4564
394	2974	4556
395	2983	4549
396	2990	4542
397	2998	4535
398	3006	4527
399	3014	4521
400	3022	4514
401	3030	4507
402	3037	4500
403	3045	4492
404	3052	4485
405	3060	4477
406	3068	4471
407	3076	4463
408	3084	4456
409	3093	4451
410	3100	4443
411	3109	4437
412	3117	4430
413	3125	4424
414	3133	4417
415	3144	4414
416	3152	4407
417	3161	4402
418	3169	4395
419	3178	4389
420	3186	4381
421	3195	4376
422	3202	4368
423	3211	4363
424	3219	4355
425	3227	4349
426	3235	4342
427	3246	4338
428	3253	4329
429	3260	4322
430	3267	4314
431	3274	4306
432	3282	4297
433	3289	4290
434	3297	4282
435	3303	4273
436	3311	4265
437	3318	4257
438	3326	4250
439	3333	4242
440	3341	4235
441	3349	4228
442	3356	4220
443	3363	4212
444	3370	4203
445	3378	4196
446	3385	4187
447	3392	4180
448	3399	4171
449	3406	4164
450	3413	4155
451	3420	4147
452	3428	4139
453	3435	4131
454	3443	4124
455	3450	4116
456	3458	4108
457	3464	4100
458	3472	4092
459	3479	4084
460	3487	4077
461	3494	4069
462	3501	4061
463	3509	4053
464	3516	4045
465	3523	4037
466	3530	4029
467	3537	4021
468	3545	4013
469	3552	4006
470	3560	3999
471	3568	3992
472	3576	3984
473	3585	3978
474	3592	3970
475	3599	3962
476	3606	3954
477	3613	3945
478	3620	3937
479	3627	3930
480	3636	3923
481	3643	3915
482	3650	3907
483	3658	3900
484	3665	3892
485	3672	3884
486	3680	3877
487	3688	3869
488	3696	3862
489	3704	3855
490	3711	3847
491	3718	3839
492	3725	3831
493	3732	3823
494	3740	3815
495	3747	3807
496	3753	3799
497	3760	3790
498	3767	3782
499	3774	3774
500	3781	3766
501	3788	3758
502	3796	3750
503	3802	3742
504	3809	3734
505	3818	3727
506	3826	3721
507	3835	3714
508	3842	3706
509	3850	3699
510	3857	3691
511	3865	3684
512	3872	3675
513	3879	3668
514	3886	3659
515	3892	3651
516	3900	3643
517	3906	3635
518	3914	3627
519	3921	3619
520	3929	3612
521	3937	3605
522	3945	3598
523	3953	3591
524	3960	3583
525	3968	3575
526	3974	3567
527	3981	3559
528	3987	3550
529	3995	3543
530	4001	3534
531	4007	3525
532	4013	3516
533	4020	3508
534	4027	3500
535	4033	3491
536	4039	3482
537	4046	3474
538	4053	3466
539	4059	3458
540	4065	3449
541	4072	3441
542	4078	3432
543	4085	3424
544	4092	3416
545	4099	3408
546	4105	3399
547	4112	3391
548	4118	3383
549	4125	3375
550	4131	3366
551	4137	3358
552	4144	3349
553	4150	3341
554	4157	3333
555	4163	3325
556	4169	3316
557	4176	3308
558	4182	3299
559	4190	3292
560	4197	3284
561	4203	3276
562	4210	3268
563	4216	3259
564	4222	3251
565	4229	3242
566	4236	3234
567	4242	3226
568	4248	3218
569	4255	3210
570	4262	3202
571	4268	3194
572	4274	3185
573	4280	3177
574	4287	3169
575	4293	3160
576	4300	3152
577	4306	3144
578	4312	3135
579	4318	3127
580	4324	3118
581	4330	3110
582	4337	3102
583	4344	3094
584	4351	3086
585	4357	3078
586	4363	3070
587	4370	3062
588	4377	3054
589	4384	3046
590	4390	3038
591	4396	3029
592	4403	3022
593	4409	3013
594	4416	3006
595	4422	2997
596	4428	2989
597	4435	2981
598	4441	2973
599	4448	2965
600	4454	2957
601	4460	2949
602	4467	2941
603	4473	2933
604	4479	2924
605	4485	2916
606	4491	2908
607	4498	2900
608	4504	2891
609	4509	2883
610	4516	2875
611	4522	2867
612	4528	2859
613	4535	2851
614	4541	2843
615	4548	2835
616	4555	2827
617	4561	2819
618	4568	2811
619	4574	2803
620	4581	2795
621	4587	2787
622	4593	2779
623	4600	2772
624	4607	2764
625	4614	2757
626	4620	2749
627	4627	2741
628	4633	2733
629	4639	2725
630	4646	2717
631	4653	2709
632	4658	2701
633	4665	2693
634	4671	2685
635	4678	2677
636	4684	2669
637	4689	2660
638	4696	2653
639	4702	2645
640	4708	2636
641	4714	2629
642	4720	2621
643	4728	2613
644	4734	2606
645	4740	2597
646	4747	2590
647	4753	2582
648	4759	2573
649	4765	2566
650	4771	2558
651	4777	2550
652	4783	2542
653	4789	2534
654	4797	2527
655	4805	2519
656	4811	2511
657	4817	2503
658	4823	2496
659	4829	2488
660	4835	2480
661	4842	2472
662	4849	2464
663	4854	2456
664	4861	2448
665	4868	2441
666	4874	2433
667	4880	2425
668	4886	2417
669	4892	2409
670	4899	2402
671	4905	2394
672	4911	2386
673	4917	2378
674	4924	2371
675	4930	2363
676	4936	2355
677	4943	2347
678	4948	2339
679	4956	2332
680	4961	2324
681	4967	2316
682	4974	2308
683	4980	2301
684	4987	2293
685	4993	2285
686	4999	2277
687	5006	2270
688	5012	2262
689	5018	2254
690	5024	2247
691	5031	2239
692	5037	2231
693	5043	2223
694	5049	2216
695	5056	2208
696	5063	2201
697	5068	2193
698	5075	2185
699	5081	2177
700	5088	2170
701	5094	2162
702	5100	2154
703	5106	2147
704	5113	2139
705	5119	2132
706	5126	2124
707	5132	2116
708	5138	2109
709	5144	2101
710	5151	2093
711	5157	2086
712	5163	2078
713	5170	2071
714	5176	2063
715	5182	2055
716	5188	2047
717	5194	2040
718	5200	2032
719	5206	2024
720	5213	2017
721	5219	2009
722	5225	2002
723	5235	1995
724	5243	1989
725	5250	1981
726	5257	1974
727	5264	1966
728	5270	1959
729	5276	1951
730	5283	1944
731	5291	1937
732	5297	1929
733	5305	1922
734	5312	1915
735	5318	1907
736	5325	1900
737	5332	1892
738	5339	1885
739	5345	1878
740	5352	1870
741	5359	1863
742	5365	1856
743	5373	1848
744	5380	1841
745	5388	1834
746	5395	1827
747	5401	1819
748	5409	1812
749	5416	1805
750	5424	1798
751	5431	1791
752	5438	1783
753	5445	1776
754	5452	1769
755	5459	1761
756	5466	1754
757	5473	1747
758	5480	1740
759	5487	1732
760	5494	1725
761	5502	1718
762	5509	1711
763	5517	1704
764	5524	1697
765	5532	1690
766	5539	1682
767	5547	1675
768	5554	1668
769	5561	1661
770	5568	1654
771	5575	1646
772	5582	1639
773	5589	1631
774	5596	1624
775	5604	1617
776	5610	1610
777	5617	1603
778	5625	1595
779	5632	1588
780	5638	1581
781	5646	1573
782	5653	1566
783	5660	1559
784	5666	1552
785	5673	1544
786	5680	1537
787	5687	1530
788	5694	1522
789	5700	1515
790	5707	1508
791	5715	1501
792	5722	1493
793	5729	1486
794	5736	1479
795	5743	1471
796	5749	1464
797	5757	1457
798	5763	1449
799	5770	1442
800	5777	1435
801	5784	1427
802	5790	1420
803	5797	1413
804	5804	1406
805	5812	1398
806	5818	1391
807	5825	1384
808	5831	1376
809	5838	1369
810	5844	1361
811	5850	1354
812	5856	1347
813	5862	1339
814	5869	1332
815	5875	1324
816	5881	1317
817	5888	1310
818	5894	1302
819	5900	1295
820	5906	1287
821	5913	1280
822	5919	1273
823	5926	1265
824	5932	1258
825	5938	1251
826	5944	1243
827	5950	1236
828	5956	1228
829	5962	1221
830	5969	1213
831	5974	1206
832	5980	1198
833	5986	1191
834	5992	1184
835	5998	1176
836	6005	1169
837	6011	1162
838	6017	1154
839	6024	1147
840	6030	1140
841	6036	1132
842	6042	1125
843	6048	1118
844	6054	1110
845	6061	1103
846	6067	1096
847	6074	1088
848	6080	1081
849	6086	1074
850	6092	1066
851	6099	1059
852	6105	1052
853	6111	1044
854	6117	1037
855	6124	1030
856	6130	1022
857	6137	1015
858	6144	1008
859	6150	1001
860	6157	994
861	6163	986
862	6169	979
863	6175	972
864	6181	964
865	6187	957
866	6193	950
867	6199	942
868	6205	935
869	6211	928
870	6217	920
871	6223	913
872	6230	906
873	6236	899
874	6243	891
875	6250	884
876	6256	877
877	6262	870
878	6268	862
879	6274	855
880	6280	848
881	6286	841
882	6292	833
883	6299	826
884	6305	819
885	6311	812
886	6317	804
887	6323	797
888	6329	790
889	6335	783
890	6341	775
891	6348	768
892	6354	761
893	6360	754
894	6366	746
895	6372	739
896	6379	732
897	6385	725
898	6391	718
899	6397	710
900	6403	703
901	6409	696
902	6415	689
903	6421	681
904	6427	674
905	6433	667
906	6440	660
907	6447	653
908	6453	646
909	6459	638
910	6465	631
911	6471	624
912	6477	617
913	6483	610
914	6490	602
915	6496	595
916	6502	588
917	6509	581
918	6515	574
919	6521	567
920	6527	559
921	6533	552
922	6539	545
923	6545	538
924	6552	531
925	6558	524
926	6564	516
927	6571	509
928	6576	502
929	6582	495
930	6589	488
931	6595	481
932	6602	474
933	6609	467
934	6614	459
935	6621	452
936	6627	445
937	6633	438
938	6639	431
939	6645	424
940	6651	417
941	6658	409
942	6664	402
943	6670	395
944	6676	388
945	6682	381
946	6688	374
947	6694	367
948	6701	360
949	6707	353
950	6713	345
951	6719	338
952	6725	331
953	6731	324
954	6738	317
955	6743	310
956	6750	303
957	6756	296
958	6763	289
959	6770	282
960	6776	275
961	6783	267
962	6789	260
963	6794	253
964	6801	246
965	6807	239
966	6812	232
967	6819	225
968	6825	218
969	6832	211
970	6837	204
971	6843	197
972	6849	190
973	6855	183
974	6862	175
975	6868	168
976	6875	161
977	6882	154
978	6888	147
979	6894	140
980	6901	133
981	6907	126
982	6914	119
983	6920	112
984	6925	105
985	6931	98
986	6937	91
987	6943	84
988	6950	77
989	6956	70
990	6962	63
991	6968	56
992	6974	49
993	6981	42
994	6987	35
995	6994	28
996	7000	21
997	7006	14
998	7013	7
999	7019	0
